Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,40 Yard,Rating,Draft
2000,Tom Brady,Michigan,QB,77,211,33,,24.5,99,4.38,7.2,5.28,93,1
2011,Justin Houston,Georgia,OLB,75,270,,30,36.5,125,4.37,6.95,4.62,93,1
2010,Antonio Brown,Central Michigan,WR,70,186,,13,33.5,105,4.18,6.98,4.56,92,1
2010,Gerald McCoy,Oklahoma,DT,76,295,,23,30.5,114,4.48,7.32,5.04,95,1
2015,Michael Bennett,Georgia,WR,74,202,,,,,,,4.59,0,0
2011,DeMarco Murray,Oklahoma,RB,73,213,,21,34.5,130,4.18,7.28,4.37,89,1
2009,Michael Bennett,Texas A&M,DE,76,274,,24,31,110,,,5,89,1
2005,Cameron Wake,Penn State,OLB,75,236,,20,45.5,130,4.13,7.12,4.65,96,1
2001,Michael Bennett,Wisconsin,RB,69,207,,13,39.5,,,,4.38,89,1
2013,Le'Veon Bell,Michigan State,RB,73,230,,24,31.5,118,4.24,6.75,4.6,82,1
2010,Navorro Bowman,Penn State,OLB,73,242,,26,29.5,115,4.59,6.91,4.7,96,1
2010,Kam Chancellor,Virginia Tech,FS,75,231,,22,32,116,4.41,7.36,4.62,93,1
2003,Tony Romo,Eastern Illinois,QB,74,230,30,,30,105,4.2,7.11,5.01,91,1
2007,Patrick Willis,Mississippi,ILB,73,242,,22,39,119,4.46,7.23,4.51,96,1
2010,Geno Atkins,Georgia,DT,74,293,,34,33,117,4.43,7.33,4.75,96,1
2011,Nick Fairley,Auburn,DT,76,291,,,31,113,4.56,7.14,4.84,91,1
2008,Branden Albert,Virginia,OG,78,309,,23,26,111,4.78,7.97,5.17,88,1
2012,Bobby Wagner,Utah State,OLB,73,241,,,,,,,4.46,88,1
2012,Russell Wilson,Wisconsin,QB,71,204,28,,34,118,4.09,6.97,4.53,93,1
2010,Reshad Jones,Georgia,SS,73,214,,24,39.5,118,4.54,7.43,4.51,89,1
2009,Clay Matthews,Southern Californiaifornia,OLB,75,240,27,23,35.5,121,4.18,6.9,4.62,90,1
2009,Max Unger,Oregon,C,77,309,,22,24.5,93,4.5,7.39,5.26,86,1
2008,Jerod Mayo,Tennessee,ILB,73,242,,,32,114,4.29,7.31,4.54,91,1
2008,Matt Ryan,Boston College,QB,77,228,32,,,,4.51,7.4,4.89,87,1
2005,Derrick Johnson,Texas,OLB,75,242,,,37.5,120,3.93,7.21,4.52,91,1
2005,Derrick Johnson,Texas,CB,71,197,,18,,,4.1,7.15,4.43,91,1
2013,Jamie Collins,Southern Mississippi,OLB,76,250,17,19,41.5,139,4.32,7.1,4.64,81,1
2013,Larry Warford,Kentucky,OG,75,332,,28,22.5,96,5.1,7.78,5.58,88,1
2012,Alshon Jeffery,South Carolina,WR,75,216,,,,,,,4.48,91,1
2009,Phil Loadholt,Oklahoma,OT,80,332,,24,29,95,5.06,8.18,5.49,90,1
2007,Brandon Mebane,California,DT,73,309,,24,24,106,4.65,7.94,5.15,91,1
2006,Stephen Tulloch,North Carolina State,ILB,71,241,,27,33.5,113,4.18,7.2,4.84,89,1
2011,Rodney Hudson,Florida State,C,74,299,,27,25.5,95,4.96,8.03,5.27,79,1
2010,Eric Berry,Tennessee,FS,73,211,,19,43,130,4.23,6.8,4.4,90,1
2010,Sean Lee,Penn State,ILB,74,236,,24,37.5,120,,,4.71,89,1
2010,Golden Tate,Notre Dame,WR,70,199,,17,35,120,4.34,7.12,4.42,84,1
2010,Trent Williams,Oklahoma,OT,77,315,,23,34.5,113,4.63,7.64,4.81,95,1
2009,Brian Orakpo,Texas,DE,75,263,,31,39.5,,,,4.63,92,1
2009,Glover Quin,New Mexico,FS,71,204,,22,38,119,4.43,7.39,4.5,84,1
2008,Jake Long,Michigan,OT,79,313,,37,27.5,102,4.73,7.44,5.22,90,1
2006,Antoine Bethea,Howard,FS,71,203,,19,36.5,,4.13,6.99,4.39,87,1
2005,Michael Roos,Eastern Washington,OT,79,320,,19,29,97,4.52,7.73,5.3,89,1
2003,Lance Briggs,Arizona,ILB,73,242,,25,33,113,,,4.75,87,1
2013,Kyle Long,Oregon,OT,78,313,29,,28,107,4.63,7.83,4.94,78,1
2012,Kelechi Osemele,Iowa State,OT,78,333,,32,26.5,104,4.87,7.91,5.22,81,1
2012,Kevin Zeitler,Wisconsin,OG,76,314,,32,29,101,4.61,7.77,5.32,83,1
2011,Jimmy Smith,Colorado,CB,74,211,,24,36,123,4.06,6.93,4.42,82,1
2008,Tyvon Branch,Connecticut,CB,73,204,,19,34,120,4.4,,4.31,88,1
2007,Ryan Kalil,Southern Californiaifornia,C,75,299,,34,26,104,4.34,7.5,4.96,89,1
2006,Jason Hatcher,Grambling State (LA),DE,78,284,,28,35.5,113,4.5,7.68,4.82,89,1
2005,DeMarcus Ware,Troy,OLB,76,251,,27,38.5,122,4.07,6.85,4.56,90,1
2010,Dennis Pitta,BYU,TE,77,245,,27,34,113,4.17,6.72,4.68,87,1
2006,Tim Jennings,Georgia,CB,68,185,,17,37.5,,,,4.32,88,1
2014,C.J. Mosley,Alabama,ILB,74,234,,,35,116,4.4,7.3,4.65,76,1
2012,Vontaze Burfict,Arizona State,ILB,73,248,,,30,104,,,5,88,1
2011,Prince Amukamara,Nebraska,CB,73,206,,15,38,128,4.08,6.97,4.38,84,1
2011,Stephen Paea,Oregon State,DT,73,303,,49,,,,,4.98,79,1
2010,Jerry Hughes,Texas Christian,OLB,74,255,,26,34.5,118,4.15,6.99,4.65,83,1
2009,Sen'Derrick Marks,Auburn,DT,74,306,,,33,,,,5,80,1
2006,Marques Colston,Hofstra,WR,77,224,,,37,123,4.44,6.96,4.5,90,1
2006,Bernard Pollard,Purdue,SS,74,224,,,36.5,131,,,4.57,87,1
2005,Brandon Browner,Oregon State,CB,76,221,,13,36.5,123,4.24,7.2,4.63,86,1
2005,C.J. Mosley,Missouri,DT,74,312,,27,27.5,100,4.65,8.21,5.08,76,1
2003,Carson Palmer,Southern Californiaifornia,QB,77,232,26,,,,,,4.65,83,1
2003,Charles Tillman,Louisiana-Lafayette,CB,73,207,,12,40,131,3.89,7.05,4.49,87,1
2012,Stephon Gilmore,South Carolina,CB,73,190,,15,36,123,3.94,6.61,4.38,85,1
2012,Ryan Tannehill,Texas A&M,QB,76,221,34,,,,,,4.65,84,1
2011,Jordan Cameron,Southern Californiaifornia,TE,77,254,,23,37.5,119,4.03,6.82,4.53,88,1
2010,Lamarr Houston,Texas,DT,75,305,,30,33.5,114,4.71,7.61,4.84,89,1
2007,Zach Miller,Arizona State,TE,77,256,,,34,115,4.42,7.01,4.87,86,1
2004,Darnell Dockett,Florida State,DT,76,297,,26,31,105,,,5,85,1
2014,Chris Borland,Wisconsin,ILB,73,248,32,27,31,113,4.27,7.18,4.83,73,1
2012,Robert Blanton,Notre Dame,CB,73,208,,12,34,116,3.97,6.71,4.66,70,1
2012,Nick Foles,Arizona,QB,77,243,29,,30.5,112,,,5.03,88,1
2011,Brandon Fusco,Slippery Rock,C,76,306,,26,28.5,108,4.43,7.29,5.18,84,1
2010,Rolando McClain,Alabama,ILB,76,249,,24,,,,,4.68,0,0
2009,Louis Delmas,Western Michigan,FS,73,202,12,12,37,126,4.17,6.67,4.52,84,1
2009,Knowshon Moreno,Georgia,RB,71,217,,25,35.5,115,4.27,6.84,4.5,87,1
2009,Lardarius Webb,Nicholls State,CB,70,179,,15,36.5,121,4.1,6.77,4.35,90,1
2007,Ahmad Bradshaw,Marshall,RB,70,198,,,34,112,4.09,6.7,4.55,82,1
2007,Paul Posluszny,Penn State,OLB,74,238,,22,37,116,4.2,6.94,4.7,82,1
2013,Sio Moore,Connecticut,OLB,73,245,,29,38,127,4.31,7.49,4.65,82,1
2012,Mike Adams,Ohio State,OT,79,323,,19,28.5,100,4.95,7.94,5.28,78,1
2012,George Iloka,Boise State,FS,76,225,,20,34.5,124,4.03,7.03,4.6,77,1
2011,Byron Maxwell,Clemson,CB,73,202,,24,33,124,,,4.43,84,1
2011,Shane Vereen,California,RB,70,210,,31,34,115,4.28,6.95,4.49,82,1
2010,Sam Bradford,Oklahoma,QB,76,236,36,,,,,,4.79,85,1
2010,Anthony Davis,Rutgers,OT,77,323,,21,33,,4.97,8.17,5.36,88,1
2010,Koa Misi,Utah,OLB,75,251,,,38,127,4.27,7.07,4.75,82,1
2010,Sean Weatherspoon,Missouri,OLB,73,239,,34,40,123,4.38,6.99,4.62,76,1
2009,B.J. Raji,Boston College,DT,74,337,,33,32,103,4.69,7.9,5.12,83,1
2005,Anthony Davis,Wisconsin,RB,67,200,,18,38,121,,7.39,4.5,88,1
2004,Nick Hardwick,Purdue,C,76,295,,27,34,108,4.64,7.84,5.2,84,1
